fold,local_index,event_id,soh_bin,mileage,n_candidates_mileage,n_neighbors_available
0,3404,6038,"(0.935, 0.94]",79680.79680000001,75,5
0,3435,6155,"(0.935, 0.94]",34411.4496,6,5
0,3436,6156,"(0.935, 0.94]",35024.9856,6,5
0,3705,6706,"(0.935, 0.94]",94846.5408,18,5
0,3706,6707,"(0.935, 0.94]",95414.5632,17,5
0,3707,6709,"(0.935, 0.94]",95734.6368,17,5
0,3708,6710,"(0.935, 0.94]",95892.0864,17,5
0,3711,6715,"(0.935, 0.94]",98064.5952,14,5
0,3878,6951,"(0.935, 0.94]",85019.8272,60,5
0,3880,6953,"(0.935, 0.94]",85970.9664,59,5
0,3882,6955,"(0.935, 0.94]",86551.0272,59,5
0,3885,6958,"(0.935, 0.94]",87168.47039999999,59,5
0,3892,6966,"(0.935, 0.94]",89873.30880000001,45,5
0,3994,7172,"(0.935, 0.94]",74354.96639999999,84,5
0,4010,7193,"(0.935, 0.94]",81627.4272,71,5
0,4145,7464,"(0.935, 0.94]",74124.0192,85,5
0,4146,7465,"(0.935, 0.94]",74392.9824,84,5
0,4352,7744,"(0.935, 0.94]",78293.3184,81,5
0,4353,7745,"(0.935, 0.94]",78607.2672,81,5
0,4360,7754,"(0.935, 0.94]",81715.0752,70,5
0,4367,7762,"(0.935, 0.94]",84569.8656,60,5
0,4370,7769,"(0.935, 0.94]",87066.24960000001,59,5
0,4412,7836,"(0.935, 0.94]",69131.35680000001,79,5
0,4417,7842,"(0.935, 0.94]",73131.696,85,5
0,4419,7844,"(0.935, 0.94]",73898.14080000001,85,5
0,4779,8331,"(0.935, 0.94]",47535.10080000001,9,5
0,5051,8849,"(0.935, 0.94]",75658.9152,83,5
0,5054,8852,"(0.935, 0.94]",76255.4496,83,5
0,5056,8854,"(0.935, 0.94]",76654.72320000001,82,5
0,5057,8856,"(0.935, 0.94]",77064.9792,82,5
0,5058,8857,"(0.935, 0.94]",77273.7504,82,5
0,5059,8858,"(0.935, 0.94]",77467.73760000001,82,5
0,5060,8859,"(0.935, 0.94]",77672.496,81,5
0,5061,8860,"(0.935, 0.94]",77868.0672,81,5
0,5062,8861,"(0.935, 0.94]",78076.416,81,5
0,5063,8862,"(0.935, 0.94]",78252.9792,81,5
0,5406,9486,"(0.935, 0.94]",70417.6704,82,5
0,5408,9489,"(0.935, 0.94]",72752.69760000001,85,5
0,5707,10066,"(0.935, 0.94]",65948.784,75,5
0,5709,10068,"(0.935, 0.94]",66371.0784,76,5
0,5710,10069,"(0.935, 0.94]",66474.4608,76,5
0,5775,10218,"(0.935, 0.94]",59164.6176,45,5
0,5777,10220,"(0.935, 0.94]",59695.152,48,5
0,5781,10224,"(0.935, 0.94]",61430.688,59,5
0,5869,10359,"(0.935, 0.94]",72525.55200000001,85,5
0,5870,10360,"(0.935, 0.94]",72675.8208,85,5
0,5927,10469,"(0.935, 0.94]",31938.4032,5,5
0,5928,10470,"(0.935, 0.94]",32196.1728,5,5
0,6352,11271,"(0.935, 0.94]",30052.4928,5,5
0,6407,11339,"(0.935, 0.94]",67651.7952,78,5
0,158,339,"(0.94, 0.945]",71186.016,124,5
0,170,354,"(0.94, 0.945]",76076.98560000001,124,5
0,172,358,"(0.94, 0.945]",77409.7632,119,5
0,187,374,"(0.94, 0.945]",83935.632,80,5
0,194,391,"(0.94, 0.945]",32416.982400000004,10,5
0,198,395,"(0.94, 0.945]",33752.0832,10,5
0,254,467,"(0.94, 0.945]",66559.7856,115,5
0,259,473,"(0.94, 0.945]",70517.35680000001,123,5
0,265,480,"(0.94, 0.945]",75348.9792,124,5
0,266,481,"(0.94, 0.945]",75570.2112,124,5
0,454,751,"(0.94, 0.945]",66705.1968,117,5
0,692,1165,"(0.94, 0.945]",64068.7872,112,5
0,752,1280,"(0.94, 0.945]",31189.2768,10,5
0,805,1346,"(0.94, 0.945]",62953.6512,106,5
0,825,1369,"(0.94, 0.945]",72919.1232,126,5
0,826,1370,"(0.94, 0.945]",73127.3664,127,5
0,827,1371,"(0.94, 0.945]",73391.3664,126,5
0,828,1373,"(0.94, 0.945]",73910.1792,123,5
0,829,1374,"(0.94, 0.945]",74189.91360000001,123,5
0,832,1377,"(0.94, 0.945]",75438.9504,124,5
